id	rate	bna
26125	1229503	597097
26127	26229	13277
26129	21222	10593
26131	6298	3239
26133	23234	11728
26135	8444	4346
26137	24141	11911
26139	273136	134515
26141	13037	6502
26143	24068	11989
26145	196479	95216
26147	160429	79585
26149	61022	30279
26151	42014	20843
26153	8288	4102
26155	69113	34144
26157	54420	27243
26159	75351	37287
26161	354092	174855
26163	1778969	855112
26165	32751	16421
27001	15839	8064
27003	338764	169586
27005	33138	16601
27007	45434	22740
27009	39221	19500
27011	5134	2496
27013	65125	32760
27015	25391	12620
27017	35443	18256
27019	95715	47387
27021	28519	14512
27023	12154	5984
27025	53834	27832
27027	60879	30072
27029	8752	4429
27031	5194	2602
27033	11632	5685
27035	63048	31459
27037	408456	200534
27039	20290	10144
27041	36620	18331
27043	14230	7165
27045	20843	10445
27047	30897	15304
27049	46377	23098
27051	5961	2985
27053	1197776	589781
27055	18812	9405
27057	20574	10282
27059	38296	19300
27061	45354	22949
27063	10211	5154
27065	16003	8121
27067	42444	21336
27069	4480	2251
27071	13054	6535
27073	7023	3526
27075	10750	5451
27077	3949	2032
27079	27707	14008
27081	5808	2918
27083	25699	12818
27085	36046	17888
27087	5496	2772
27089	9453	4793
27091	20350	10050
27093	23129	11675
27095	25809	12980
27097	32962	16663
27099	39227	19579
27101	8529	4227
27103	33086	16492
27105	21687	11190
27107	6692	3353
27109	148736	72773
27111	57511	28840
27113	14110	7087
27115	29218	15605
27117	9354	4550
27119	31547	15940
27121	10948	5550
27123	527411	256288
27125	4061	2067
27127	15723	7898
27129	15171	7715
27131	64886	33038
27133	9563	4651
27135	15615	7991
27137	200506	100791
27139	137322	68449
27141	90401	46062
27143	15021	7611
27145	152595	76804
27147	36523	17915
27149	9771	4896
27151	9525	4803
27153	24466	12500
27155	3429	1698
27157	21381	10777
27159	13759	6820
27161	19076	9162
27163	246670	121924
27165	11054	5468
27167	6526	3316
27169	51213	25183
27171	128691	64704
27173	10092	5170
28001	31979	16214
28003	37319	18250
28005	12840	6355
28007	19175	9024
28009	8470	4124
28011	33803	15874
28013	14789	7124
28015	10338	5196
28017	17391	8367
28019	8354	4065
28021	9330	4329
28023	16362	7740
28025	20279	9435
28027	25254	11681
28029	28921	13941
28031	19471	9341
28033	168586	81857
28035	76267	36274
28037	7857	3833
28039	23104	11648
28041	14129	8409
28043	21591	10275
28045	45627	22367
28047	196268	97348
28049	245874	115233
28051	18772	8945
28053	8984	4278
28055	1291	845
28057	23451	11650
28059	140676	69185
28061	16588	8058
28063	7586	3683
28065	11941	5684
28067	68276	33051
28069	10211	5103
28071	51169	24919
28073	58885	28624
28075	79832	38764
28077	12586	6181
28079	23153	11588
28081	85036	40489
28083	31516	15051
28085	34765	16653
28087	59699	28469
28089	100202	47918
28091	26109	12711
28093	36385	17918
28095	36175	17273
28097	10464	4907
28099	29553	14185
28101	21663	10217
28103	11143	5346
28105	49048	24592
28107	34373	16584
28109	55196	27271
28111	12187	5924
28113	40075	19003
28115	30517	15353
28117	25380	12413
